Title,Description,Latitude,Longitude
ABATTA_PCO24,ABATTA,5.356706,-3.92479
ABATTA_PCO51,ABATTA,5.351053,-3.92388
ABATTA_PCO52,ABATTA,5.356944,-3.92102
ABATTA_PCO53,ABATTA,5.35225,-3.92204
ABATTA_PCO54,ABATTA,5.359005,-3.92403
ABATTA_PCO61,ABATTA,5.358761,-3.92594
ABATTA_PCO62,ABATTA,5.350625,-3.92696
ABATTA_PCO63/1,ABATTA,5.361739,-3.92849
ABATTA_PCO63/2,ABATTA,5.3634,-3.9287
ABATTA_PCO64,ABATTA,5.362395,-3.92561
ABATTA_PCO71,ABATTA,5.364614,-3.92668
ABATTA_PCO72,ABATTA,5.365827,-3.92701
ABATTA_PCO73,ABATTA,5.367562,-3.92525
ABATTA_PCO74,ABATTA,5.368316,-3.93397
ABATTA_PCO81,ABATTA,5.367936,-3.92953
ABATTA_PCO82,ABATTA,5.367783,-3.92952
ABATTA_PCO83,ABATTA,5.365764,-3.9339
ABATTA_PCO84,ABATTA,5.345382,-3.92429
ABATTA_PCO41,ABATTA,5.348071,-3.92096
ABATTA_PCO42,ABATTA,5.346533,-3.92442
ABATTA_PCO43,ABATTA,5.345575,-3.91728
ABATTA_PCO44,ABATTA,5.347013,-3.92014
ABATTA_PCO22,ABATTA,5.338851,-3.92668
ABATTA_PCO23,ABATTA,5.331107,-3.92448
ABATTA_PCO11,ABATTA,5.340424,-3.92227
ABATTA_PCO12,ABATTA,5.331614,-3.92219
ABATTA_PCO13,ABATTA,5.342983,-3.92205
ABATTA_PCO31,ABATTA,5.339767,-3.92278
ABATTA_PCO32,ABATTA,5.346008,-3.92613
ABATTA_PCO33,ABATTA,5.345865,-3.92062
ABATTA_PCO34,ABATTA,5.368936,-3.93412
ABATTA_PCO91,ABATTA,5.367966,-3.93419
ABATTA_PCO92,ABATTA,5.369897,-3.92536
ABATTA_PCO93,ABATTA,5.371006,-3.92616
ABATTA_PCO94,ABATTA,5.368358,-3.92174
ABATTA_PCO101,ABATTA,5.362821,-3.92741
ABATTA_PCO102,ABATTA,5.340124,-3.92227
ABATTA_PCO103,ABATTA,5.368965,-3.91846
ABATTA_PCO104,ABATTA,5.357192,-3.92646
ABATTA_PCO01,ABATTA,5.356732,-3.92761
ABATTA_PCO02,ABATTA,5.357405,-3.92879
ABATTA_PCO03,ABATTA,5.355964,-3.92859
ABATTA_PCO04,ABATTA,5.355025,-3.92579
ABATTA_PCO05,ABATTA,5.354965,-3.92712
ABATTA_PCO06,ABATTA,5.354324,-3.92828
ABATTA_PCO07,ABATTA,5.354933,-3.92897
ABATTA_PCO08,ABATTA,5.356218,-3.92421
ABATTA_PCO09,ABATTA,5.355635,-3.92304
ABATTA_PCO10,ABATTA,5.353118,-3.92282
ABATTA_PCO111,ABATTA,5.351715,-3.92233
ABATTA_PCO112,ABATTA,5.367026,-3.93423
ABATTA_PCO113,ABATTA,5.365261,-3.93377
ABATTA_PCO114,ABATTA,5.368306,-3.93516
ABATTA_PCO15,ABATTA,5.369484,-3.93429
ABATTA_PCO16,ABATTA,5.362138,-3.9289
ABATTA_PCO17,ABATTA,5.361448,-3.93025
ABATTA_PCO18,ABATTA,5.359952,-3.9311
ABATTA_PCO19,ABATTA,5.35957,-3.93052
ABATTA_PCO200,ABATTA,5.362541,-3.92728
ABATTA_PCO211,ABATTA,5.366142,-3.93058
ABATTA_PCO212,ABATTA,5.367454,-3.92945
ABATTA_PCO213,ABATTA,5.369979,-3.93246
ABATTA_PCO214,ABATTA,5.338236,-3.91628
ABATTA_PCO291,ABATTA,5.339348,-3.91598
ABATTA_PCO301,ABATTA,5.339431,-3.91493
ABATTA_PCO311,ABATTA,5.339959,-3.91405
ABATTA_PCO321,ABATTA,5.367915,-3.91853
ABATTA_PCO331,ABATTA,5.365701,-3.91717
ABATTA_PCO341,ABATTA,5.370032,-3.91956
ABATTA_PCO351,ABATTA,5.368823,-3.92012
ABATTA_PCO361,ABATTA,5.32815,-3.91852
ABATTA_PCO37,ABATTA,5.328277,-3.91587
ABATTA_PCO38,ABATTA,5.328919,-3.91707
ABATTA_PCO39,ABATTA,5.328229,-3.91696
ABATTA_PCO40,ABATTA,5.335932,-3.95245
RIVIERA4_PCO11,RIVIERA 4,5.359005,-3.95375
RIVIERA4_PCO12,RIVIERA 4,5.338613,-3.96082
RIVIERA4_PCO13,RIVIERA 4,5.335625,-3.95757
RIVIERA4_PCO14,RIVIERA 4,5.341514,-3.95648
RIVIERA4_PCO21,RIVIERA 4,5.356706,-3.95676
RIVIERA4_PCO22,RIVIERA 4,5.341234,-3.95375
RIVIERA4_PCO23,RIVIERA 4,5.340478,-3.95247
RIVIERA4_PCO24,RIVIERA 4,5.338347,-3.95221
RIVIERA4_PCO91,RIVIERA 4,5.33984,-3.9506
RIVIERA4_PCO92,RIVIERA 4,5.341633,-3.95247
RIVIERA4_PCO93,RIVIERA 4,5.341322,-3.95257
RIVIERA4_PCO94,RIVIERA 4,5.368442,-3.94196
RIVIERA4_PCO51,RIVIERA 4,5.363136,-3.94278
RIVIERA4_PCO52,RIVIERA 4,5.366384,-3.94469
RIVIERA4_PCO53,RIVIERA 4,5.336,-3.9745
RIVIERA4_PCO54,RIVIERA 4,5.328202,-3.95944
RIVIERA4_PCO61,RIVIERA 4,5.330689,-3.95918
RIVIERA4_PCO62,RIVIERA 4,5.326246,-3.9571
RIVIERA4_PCO63,RIVIERA 4,5.326978,-3.959
RIVIERA4_PCO64,RIVIERA 4,5.326978,-3.959
RIVIERA4_PCO71,RIVIERA 4,5.334622,-3.94916
RIVIERA4_PCO72,RIVIERA 4,5.330647,-3.95072
RIVIERA4_PCO73,RIVIERA 4,5.337422,-3.94673
RIVIERA4_PCO74,RIVIERA 4,5.342123,-3.9492
RIVIERA4_PCO101,RIVIERA 4,5.344334,-3.94829
RIVIERA4_PCO102,RIVIERA 4,5.346087,-3.94972
RIVIERA4_PCO103,RIVIERA 4,5.348518,-3.95309
RIVIERA4_PCO104,RIVIERA 4,5.326282,-3.94569
RIVIERA4_PCO41,RIVIERA 4,5.330855,-3.94004
RIVIERA4_PCO42,RIVIERA 4,5.331762,-3.94514
RIVIERA4_PCO43,RIVIERA 4,5.330712,-3.94868
RIVIERA4_PCO44,RIVIERA 4,5.345625,-3.96695
RIVIERA4_PCO31,RIVIERA 4,5.32831,-3.94826
RIVIERA4_PCO32,RIVIERA 4,5.324821,-3.95179
RIVIERA4_PCO33,RIVIERA 4,5.326679,-3.9525
RIVIERA4_PCO34,RIVIERA 4,5.326766,-3.93615
RIVIERA4_PCO01,RIVIERA 4,5.327756,-3.93337
RIVIERA4_PCO02,RIVIERA 4,5.33096,-3.93999
RIVIERA4_PCO03,RIVIERA 4,5.328531,-3.93181
RIVIERA4_PCO04,RIVIERA 4,5.328205,-3.95941
RIVIERA4_PCO05,RIVIERA 4,5.329473,-3.95925
RIVIERA4_PCO06,RIVIERA 4,5.329473,-3.95925
RIVIERA4_PCO07,RIVIERA 4,5.329473,-3.95925
RIVIERA4_PCO08,RIVIERA 4,5.364191,-3.94351
RIVIERA4_PCO09,RIVIERA 4,5.365718,-3.94255
RIVIERA4_PCO10,RIVIERA 4,5.362719,-3.94354
RIVIERA4_PCO111,RIVIERA 4,5.361106,-3.94198
RIVIERA4_PCO112,RIVIERA 4,5.36829,-3.94229
RIVIERA4_PCO113,RIVIERA 4,5.366929,-3.94317
RIVIERA4_PCO114,RIVIERA 4,5.367049,-3.94156
RIVIERA4_PCO15,RIVIERA 4,5.365718,-3.94255
RIVIERA4_PCO16,RIVIERA 4,5.409167,-3.9741
ARCADE_PCO01,ARCADE,5.41002,-3.97351
ARCADE_PCO02,ARCADE,5.413334,-3.97172
