pco_id;sro;localisation;lat;lon;geom;address
ABATTA_PCO24;ABATTA;ABATTA;5.356706;-3.92479;5.341138,-3.920905;Ancien Route d'Abatta, Abatta Sicta, Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO51;ABATTA;Pharmacie eau vive;5.351053;-3.92388;5.356706,-3.924787;Route d'Abatta, Cité Synatresor, Genie 2000, Cocody, Abidjan, Côte d’Ivoire
ABATTA_PCO52;ABATTA;Ecole grain de Seneve;5.356944;-3.92102;5.351053,-3.923879;Abatta Cité Police, Genie 2000, Ogriville, Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO53;ABATTA;carrefour Drogba;5.35225;-3.92204;5.356944,-3.921024;Abatta Cité Police, Ogriville, Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO54;ABATTA;immeuble;5.359005;-3.92403;5.35225,-3.922037;Abatta Cité Police, Ogriville, Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO61;ABATTA;Leonard de Vinci;5.358761;-3.92594;5.359005,-3.924026;Genie 2000, Cocody, Abidjan, Côte d’Ivoire
ABATTA_PCO62;ABATTA;Agence SODECI Abatta;5.350625;-3.92696;5.358761,-3.925942;Abatta Cité Police, Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO63/1;ABATTA;Groupe scolaire prenuis;5.361739;-3.92849;5.350625,-3.926963;Akouédo Attié, Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO63/2;ABATTA;Groupe scolaire prenuis;5.3634;-3.9287;5.361739,-3.928492;Lauriers 9, Genie 2000, Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO64;ABATTA;Face de laurier de Laurier 9;5.362395;-3.92561;5.3634,-3.9287;Faya Saint Paul, Genie 2000, Cocody, Abidjan, Côte d’Ivoire
ABATTA_PCO71;ABATTA;Cite port Boulangerie les delice;5.364614;-3.92668;5.362395,-3.925607;Genie 2000, Cocody, Abidjan, Côte d’Ivoire
ABATTA_PCO72;ABATTA;Cite port;5.365827;-3.92701;5.364614,-3.926678;Cité Synatresor, Genie 2000, Cocody, Abidjan, Côte d’Ivoire
ABATTA_PCO73;ABATTA;Cite port;5.367562;-3.92525;5.365827,-3.92701;Cité Synatresor, Genie 2000, Cocody, Abidjan, Côte d’Ivoire
ABATTA_PCO74;ABATTA;Derrière la cité port(route synatresor);5.368316;-3.93397;5.367562,-3.925251;Résidence Fiba, Genie 2000, Cocody, Abidjan, Côte d’Ivoire
ABATTA_PCO81;ABATTA;Derriere Laurier 9;5.367936;-3.92953;5.368316,-3.933973;Faya Saint Paul, Genie 2000, Cocody, Abidjan, Côte d’Ivoire
ABATTA_PCO82;ABATTA;Ecole CARTAN;5.367783;-3.92952;5.367936,-3.929527;Faya Saint Paul, Genie 2000, Cocody, Abidjan, Côte d’Ivoire
ABATTA_PCO83;ABATTA;Derriere Laurier 9;5.365764;-3.9339;5.367783,-3.929521;Faya Saint Paul, Genie 2000, Cocody, Abidjan, Côte d’Ivoire
ABATTA_PCO84;ABATTA;Derriere Laurier 9;5.345382;-3.92429;5.365764,-3.9339;Faya Saint Paul, Genie 2000, Cocody, Abidjan, Côte d’Ivoire
ABATTA_PCO41;ABATTA;Cite bonheur;5.348071;-3.92096;5.345382,-3.924287;Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO42;ABATTA;Carrefour bananier;5.346533;-3.92442;5.348071,-3.920956;Abatta BCEAO, Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO43;ABATTA;Mondiale beton;5.345575;-3.91728;5.346533,-3.924418;Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO44;ABATTA;carrefour BECAO;5.347013;-3.92014;5.345575,-3.917277;Haciendas Cité Kessé-Féh, Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO22;ABATTA;A cote du SITE de Moov vers avenue des enfants;5.338851;-3.92668;5.347013,-3.920137;Abatta Cité Police, Ogriville, Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO23;ABATTA;Cite Oribat 2eme tranche;5.331107;-3.92448;5.338851,-3.926678;Abatta Sicta, Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO11;ABATTA;Cite Immobilia 3;5.340424;-3.92227;5.331107,-3.924479;Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO12;ABATTA;Abatta village;5.331614;-3.92219;5.340424,-3.922274;Route d'Abatta, Abatta Cité Police, Ogriville, Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO13;ABATTA;DGI;5.342983;-3.92205;5.331614,-3.922187;Route d'Abatta, Abatta Cité Police, Ogriville, Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO31;ABATTA;Cite residence Camellia;5.339767;-3.92278;5.342983,-3.922045;Abatta Cité Police, Genie 2000, Ogriville, Bingerville, Abidjan, Côte d’Ivoire
ABATTA_PCO32;ABATTA;Devant la Cite ORIBAT 2;5.346008;-3.92613;5.339767,-3.92278;Abatta Cité Police, Genie 2000, Ogriville, Bingerville, Abidjan, Côte d’Ivoire
